,University,Games,Attendance,Average,Year
2642,James Madison,7,147076,21011,2013
2643,Southern U,5,100536,20107,2013
2644,Yale,5,99045,19809,2013
2645,Montana St,6,118222,19704,2013
2646,North Dakota St,9,167600,18622,2013
2647,Delaware,7,126754,18108,2013
2648,Jackson St,4,69143,17286,2013
2649,Jacksonville St,7,110695,15814,2013
2650,Charlotte,6,93244,15541,2013
2651,Liberty,7,105215,15031,2013
2652,Ga Southern,6,88968,14828,2013
2653,Alabama St,6,86321,14387,2013
2654,Youngstown St,7,94539,13506,2013
2655,Citadel,6,78932,13155,2013
2656,UNI,6,75431,12572,2013
2657,McNeese St,7,84506,12072,2013
2658,Harvard,5,60334,12067,2013
2659,Penn,5,59680,11936,2013
2660,South Carolina St,6,71279,11880,2013
2661,Tennessee St,5,57309,11462,2013
2662,South Dakota St,6,64162,10694,2013
2663,Illinois St,5,50694,10139,2013
2664,Chattanooga,6,59534,9922,2013
2666,Tuskegee,3,44861,14954,2013
2667,Grand Valley St,9,91045,10116,2013
2668,Pittsburg St,5,50152,10030,2013
2669,North Ala,6,59450,9908,2013
2670,Morehouse,3,29193,9731,2013
2671,Central Mo,5,45284,9057,2013
2672,Fort Valley St,3,24732,8244,2013
2673,Miles,3,22123,7374,2013
2674,Albany St (GA),4,29371,7343,2013
2675,Midwestern St,5,36311,7262,2013
2676,Kentucky St,5,35654,7131,2013
2677,Saginaw Valley,5,35135,7027,2013
2678,Slippery Rock,5,34411,6882,2013
2679,Colorado St-Pueblo,6,38402,6400,2013
2680,Northwest Mo St,9,54735,6082,2013
2681,Benedict,3,18243,6081,2013
2682,Emporia St,5,30045,6009,2013
2683,Shippensburg,5,29496,5899,2013
2684,Winston-Salem,6,35329,5888,2013
2685,Angelo St,5,28637,5727,2013
2686,Delta St,4,21471,5368,2013
2687,Mo Western St,6,31376,5229,2013
2688,Tarleton St,4,20802,5201,2013
2689,Shepherd,7,34919,4988,2013
2690,Fayetteville St,5,24818,4964,2013
2691,Shaw,4,19673,4918,2013
2692,Mo Southern St,5,24355,4871,2013
2693,Washburn,6,28795,4799,2013
2694,Elizabeth City St,5,23993,4799,2013
2695,Lenoir-Rhyne,9,42688,4743,2013
2696,Saint John's (MN),5,36822,7364,2013
2697,Geneva,5,26788,5358,2013
2698,Wis-Whitewater,9,45571,5063,2013
2699,Bethel (MN),8,38054,4757,2013
2700,Chris Newport,5,23399,4680,2013
2701,Baldwin Wallace,5,22870,4574,2013
2702,Concordia-M'head,5,22135,4427,2013
2703,Wabash,6,25913,4319,2013
2704,McDaniel,6,25182,4197,2013
2705,Mississippi Col,6,24166,4028,2013
2706,St Thomas (MN),5,19825,3965,2013
2707,Trinity (CT),4,15584,3896,2013
2708,Trine,5,19442,3888,2013
2709,Wesleyan (CT),4,14898,3725,2013
2710,Coe,5,18568,3714,2013
2711,Hampden-Sydney,6,22068,3678,2013
2712,Louisiana Col,5,18327,3665,2013
2713,Wis-Platteville,5,17525,3505,2013
2714,Franklin,6,20925,3488,2013
2715,Sewanee,5,17140,3428,2013
2716,Mount Union,10,33893,3389,2013
2717,Grove City,5,16800,3360,2013
2718,Wheaton (IL),5,16456,3291,2013
2719,Southwestern (TX),5,16445,3289,2013
2720,Ithaca,6,19660,3277,2013
2721,Dubuque,5,16255,3251,2013
2722,Rowan,6,19355,3226,2013
2723,Ohio St,7,744075,106296,2014
2724,Michigan,7,734364,104909,2014
2725,LSU,7,712063,101723,2014
2726,Penn St,7,711358,101623,2014
2727,Alabama,7,710736,101534,2014
2728,Tennessee,7,698276,99754,2014
2729,Texas,6,564618,94103,2014
2730,Georgia,7,649222,92746,2014
2731,Nebraska,7,638744,91249,2014
2732,Auburn,7,612157,87451,2014
2733,Florida,6,515001,85834,2014
2734,Oklahoma,6,510972,85162,2014
2735,Florida St,7,575478,82211,2014
2736,Clemson,7,572262,81752,2014
2737,South Carolina,7,569664,81381,2014
2738,Notre Dame,6,484770,80795,2014
2739,Wisconsin,7,556642,79520,2014
2740,UCLA,6,459901,76650,2014
2741,Michigan St,7,522765,74681,2014
2742,Southern California,6,439630,73272,2014
2743,Iowa,7,472584,67512,2014
2744,Arkansas,6,399124,66521,2014
2745,Missouri,7,456996,65285,2014
2746,Washington,7,451555,64508,2014
2747,Ole Miss,7,430829,61547,2014
2748,Virginia Tech,7,428099,61157,2014
2749,Mississippi St,7,427892,61127,2014
2750,Texas Tech,6,353603,58934,2014
2751,Kentucky,7,403002,57572,2014
2752,Montana,7,166440,23777,2014
2753,James Madison,6,118893,19816,2014
2754,North Dakota St,9,167136,18571,2014
2755,Montana St,8,136446,17056,2014
2756,Liberty,6,102098,17016,2014
2757,Delaware,7,109772,15682,2014
2758,Jacksonville St,6,93439,15573,2014
2759,Southern U,6,92493,15416,2014
2760,Yale,6,91159,15193,2014
2761,Harvard,5,75088,15018,2014
2762,Jackson St,7,99933,14276,2014
2763,Alabama St,6,76182,12697,2014
2764,UNI,7,87433,12490,2014
2765,Alcorn,7,85873,12268,2014
2766,McNeese St,6,72577,12096,2014
2767,Youngstown St,7,84669,12096,2014
2768,Missouri St,5,58324,11665,2014
2769,Tennessee St,6,66622,11104,2014
2770,South Dakota St,6,65613,10936,2014
2771,South Carolina St,5,53489,10698,2014
2772,Chattanooga,6,60879,10147,2014
2773,Sam Houston St,7,70027,10004,2014
2774,Mercer,7,70002,10000,2014
2775,Princeton,5,49325,9865,2014
2776,Grambling,3,29073,9691,2014
2777,Western Caro,6,57150,9525,2014
2778,Citadel,6,57031,9505,2014
2780,Grand Valley St,5,58497,11699,2014
2781,Tuskegee,5,49799,9960,2014
2782,Pittsburg St,6,58878,9813,2014
2783,North Ala,6,54389,9065,2014
2784,Albany St (GA),3,23256,7752,2014
2785,Winston-Salem,5,37609,7522,2014
2786,Northwest Mo St,6,44840,7473,2014
2787,Tarleton St,3,22141,7380,2014
2788,Miles,6,44017,7336,2014
2789,Henderson St,5,35904,7181,2014
2790,Midwestern St,5,35484,7097,2014
2791,Fort Valley St,5,33439,6688,2014
2792,Central Mo,6,39444,6575,2014
2793,Colorado St-Pueblo,8,51008,6376,2014
2794,Saginaw Valley,6,37723,6287,2014
2795,Slippery Rock,5,31056,6211,2014
2796,Lenoir-Rhyne,6,36553,6092,2014
2797,West Ga,6,34796,5799,2014
2798,Indianapolis,5,28371,5674,2014
2799,Delta St,6,33715,5619,2014
2800,Clark Atlanta,6,33694,5616,2014
2801,Morehouse,3,16576,5525,2014
2802,Benedict,5,27613,5523,2014
2803,Virginia Union,6,32536,5423,2014
2804,Valdosta St,5,25735,5147,2014
2805,Shippensburg,5,25616,5123,2014
2807,Saint John's (MN),6,46511,7752,2014
2808,Hampden-Sydney,5,36262,7252,2014
2809,McDaniel,4,21986,5497,2014
2810,Wis-Whitewater,8,43636,5455,2014
2811,St Thomas (MN),6,29718,4953,2014
2812,Concordia-M'head,5,23344,4669,2014
2813,Mary Hardin-Baylor,6,26761,4460,2014
2814,Geneva,5,21572,4314,2014
2815,Baldwin Wallace,5,21490,4298,2014
2816,Wis-Platteville,5,21085,4217,2014
2817,Trine,5,20993,4199,2014
2818,Chris Newport,5,20932,4186,2014
2819,Mount Union,8,33286,4161,2014
2820,Wabash,6,24923,4154,2014
2821,Bethel (MN),5,20013,4003,2014
2822,Coe,5,18925,3785,2014
2823,Amherst,4,14610,3653,2014
2824,Brockport,5,17700,3540,2014
2825,Wis-Eau Claire,5,17544,3509,2014
2826,Maryville (TN),6,20959,3493,2014
2827,Chapman,4,13739,3435,2014
2828,Wartburg,7,23176,3311,2014
2829,Ohio Wesleyan,5,16440,3288,2014
2830,Louisiana Col,5,16253,3251,2014
2831,Sewanee,5,16142,3228,2014
2832,Franklin,5,16020,3204,2014
2833,Cal Lutheran,5,15930,3186,2014
2834,Buena Vista,5,15715,3143,2014
2835,Michigan,7,771174,110168,2015
2836,Ohio St,7,750705,107244,2015
2837,Alabama,7,707786,101112,2015
2838,Tennessee,7,704088,100584,2015
2839,Penn St,7,698590,99799,2015
2840,Georgia,7,649222,92746,2015
2841,Florida,7,630457,90065,2015
2842,Texas,6,540210,90035,2015
2843,Nebraska,7,629983,89998,2015
2844,Auburn,7,612157,87451,2015
2845,Oklahoma,6,512139,85357,2015
2846,Clemson,7,588266,84038,2015
2847,Notre Dame,6,484770,80795,2015
2848,South Carolina,6,472934,78822,2015
2849,Wisconsin,7,546099,78014,2015
2850,Southern California,7,527506,75358,2015
2851,Michigan St,7,522628,74661,2015
2852,Florida St,7,512534,73219,2015
2853,Arkansas,7,471279,67326,2015
2854,UCLA,6,401149,66858,2015
2855,Missouri,6,390720,65120,2015
2856,Iowa,7,441992,63142,2015
2857,Washington,7,433432,61919,2015
2858,Mississippi St,7,432490,61784,2015
2859,Kentucky,8,490361,61295,2015
2860,Virginia Tech,6,364942,60824,2015
2861,Ole Miss,7,423355,60479,2015
2862,Montana,7,168975,24139,2015
2863,Jacksonville St,8,164781,20598,2015
2864,Yale,4,82189,20547,2015
2865,James Madison,7,136483,19498,2015
2866,Montana St,6,115032,19172,2015
2867,Liberty,5,94950,18990,2015
2868,North Dakota St,9,166472,18497,2015
2869,Southern U,4,73239,18310,2015
2870,Delaware,6,94954,15826,2015
2871,South Carolina St,5,78147,15629,2015
2872,Youngstown St,6,89125,14854,2015
2873,Tennessee St,4,58481,14620,2015
2874,Jackson St,5,66258,13252,2015
2875,South Dakota St,6,77394,12899,2015
2876,Harvard,5,63994,12799,2015
2877,Alcorn,5,61716,12343,2015
2878,McNeese St,6,70150,11692,2015
2879,UNI,6,69293,11549,2015
2880,Mercer,6,64150,10692,2015
2881,The Citadel,6,64070,10678,2015
2882,Eastern Ky,4,41400,10350,2015
2883,Alabama St,5,51449,10290,2015
2884,Chattanooga,6,60910,10152,2015
2885,Western Caro,5,50593,10119,2015
2886,Missouri St,5,50182,10036,2015
2887,Grambling,3,30105,10035,2015
2888,Eastern Wash,5,47886,9577,2015
2890,Grand Valley St,6,74187,12365,2015
2891,Tuskegee,5,53313,10663,2015
2892,Pittsburg St,6,59137,9856,2015
2893,Central Mo,5,45497,9099,2015
2894,North Ala,7,55789,7970,2015
2895,Albany St (GA),4,29729,7432,2015
2896,Midwestern St,7,51496,7357,2015
2897,West Ga,8,54581,6823,2015
2898,Virginia Union,4,26499,6625,2015
2899,Morehouse,5,32545,6509,2015
2900,Northwest Mo St,8,52013,6502,2015
2901,Winston-Salem,4,24272,6068,2015
2902,Fort Valley St,5,30236,6047,2015
2903,Colorado St-Pueblo,8,47897,5987,2015
2904,Humboldt St,5,29638,5928,2015
2905,Delta St,7,39381,5626,2015
2906,Emporia St,6,31958,5326,2015
2907,Washburn,5,25854,5171,2015
2908,Livingstone,4,20071,5018,2015
2909,Central Okla,5,25053,5011,2015
2910,Slippery Rock,7,34302,4900,2015
2911,Shepherd,8,37951,4744,2015
2912,UIndy,5,23566,4713,2015
2913,Angelo St,4,18481,4620,2015
2914,West Ala,5,23045,4609,2015
2915,Shippensburg,6,27591,4599,2015
2916,Mo Western St,6,27117,4520,2015
2917,Saint John's (MN),7,53372,7625,2015
2918,Wis-Whitewater,6,36734,6122,2015
2919,Geneva,5,23986,4797,2015
2920,Hampden-Sydney,5,23550,4710,2015
2921,Concordia-M'head,5,21697,4339,2015
2922,McDaniel,6,24482,4080,2015
2923,Chris Newport,5,20053,4011,2015
2924,Trine,5,20039,4008,2015
2925,St Thomas (MN),9,35376,3931,2015
2926,Ursinus,4,15472,3868,2015
2927,Bethel (MN),5,18933,3787,2015
2928,Tufts,4,14600,3650,2015
2929,Maryville (TN),5,18179,3636,2015
2930,Sewanee,5,17929,3586,2015
2931,Wartburg,5,17000,3400,2015
2932,Baldwin Wallace,5,16710,3342,2015
2933,Coe,5,16522,3304,2015
2934,Louisiana Col,3,9843,3281,2015
2935,North Central (IL),5,16400,3280,2015
2936,Albright,6,19512,3252,2015
2937,Franklin,6,19470,3245,2015
2938,Wis-Platteville,6,19334,3222,2015
2939,Ithaca,5,15920,3184,2015
2940,Albion,5,15809,3162,2015
2941,Randolph-Macon,5,15790,3158,2015
2942,Mary Hardin-Baylor,8,24748,3094,2015
2943,Berry,5,15299,3060,2015
2944,Chapman,5,14951,2990,2015
2945,Michigan,8,883741,110468,2016
2946,Ohio St,7,750944,107278,2016
2947,Alabama,7,712747,101821,2016
2948,LSU,7,708618,101231,2016
2949,Tennessee,7,706776,100968,2016
2950,Penn St,7,701800,100257,2016
2951,Texas,6,587283,97881,2016
2952,Georgia,6,556476,92746,2016
2953,Nebraska,7,631402,90200,2016
2954,Florida,5,439229,87846,2016
2955,Auburn,8,695498,86937,2016
2956,Oklahoma,6,521142,86857,2016
2957,Clemson,7,566787,80970,2016
2958,Notre Dame,6,484770,80795,2016
2959,Wisconsin,6,476144,79357,2016
2960,South Carolina,7,538441,76920,2016
2961,Florida St,6,460801,76800,2016
2962,Michigan St,7,522666,74667,2016
2963,Iowa,7,487591,69656,2016
2964,Arkansas,7,487067,69581,2016
2965,Southern California,6,410755,68459,2016
2966,UCLA,6,404751,67459,2016
2967,Ole Miss,7,454368,64910,2016
2968,Washington,7,452123,64589,2016
2969,Virginia Tech,6,378259,63043,2016
2970,Miami (FL),6,351434,58572,2016
2971,BYU,6,351413,58569,2016
2972,Mississippi St,6,349904,58317,2016
2973,Texas Tech,6,349498,58250,2016
2974,Montana,6,152261,25377,2016
2975,James Madison,8,158754,19844,2016
2976,Jackson St,5,98298,19660,2016
2977,North Dakota St,9,167002,18556,2016
2978,Montana St,6,107442,17907,2016
2979,Jacksonville St,7,123030,17576,2016
2980,Delaware,5,82390,16478,2016
2981,Liberty,6,98259,16377,2016
2982,Grambling,2,32669,16335,2016
2983,Harvard,5,73709,14742,2016
2984,Alcorn,5,71716,14343,2016
2985,Tennessee St,4,55113,13778,2016
2986,South Dakota St,7,96268,13753,2016
2987,Southern U,4,54711,13678,2016
2988,Youngstown St,8,99508,12439,2016
2989,Prairie View,4,48777,12194,2016
2990,UNI,5,60613,12123,2016
2991,The Citadel,6,70363,11727,2016
2992,Mercer,5,56186,11237,2016
2993,McNeese,6,63058,10510,2016
2994,Western Caro,5,52323,10465,2016
2995,Illinois St,6,60937,10156,2016
2996,South Carolina St,4,40593,10148,2016
2997,Missouri St,5,50485,10097,2016
2998,North Dakota,6,59665,9944,2016
2999,SFA,5,49239,9848,2016
3001,Grand Valley St,8,100388,12549,2016
3002,Tuskegee,4,40518,10130,2016
3003,Miles,2,19248,9624,2016
3004,Pittsburg St,5,48060,9612,2016
3005,Fort Valley St,3,26549,8850,2016
3006,Morehouse,4,33480,8370,2016
3007,Midwestern St,4,33452,8363,2016
3008,Tex Permian Basin,7,58289,8327,2016
3009,Albany St (GA),3,24170,8057,2016
3010,North Ala,7,53693,7670,2016
3011,Northwest Mo St,8,57028,7129,2016
3012,Saginaw Valley,5,32462,6492,2016
3013,Benedict,5,32451,6490,2016
3014,Central Mo,6,38617,6436,2016
3015,West Florida,5,31640,6328,2016
3016,West Ga,5,31545,6309,2016
3017,Washburn,6,36981,6164,2016
3018,UIndy,5,30452,6090,2016
3019,Delta St,6,35808,5968,2016
3020,Henderson St,6,35331,5889,2016
3021,Colorado St-Pueblo,6,34728,5788,2016
3022,Tarleton St,6,34629,5772,2016
3023,Emporia St,6,34243,5707,2016
3024,Clark Atlanta,5,28284,5657,2016
3025,Arkansas Tech,5,28124,5625,2016
3026,Elizabeth City St,3,16600,5533,2016
3028,Saint John's (MN),6,46719,7787,2016
3029,Wis-Whitewater,9,51459,5718,2016
3030,Wabash,4,22049,5512,2016
3031,Wesleyan (CT),4,21119,5280,2016
3032,Hampden-Sydney,4,20500,5125,2016
3033,Concordia-M'head,5,24755,4951,2016
3034,Maryville (TN),4,19738,4935,2016
3035,McDaniel,4,19567,4892,2016
3036,Geneva,5,22119,4424,2016
3037,Bethel (MN),5,21004,4201,2016
3038,SUNY Cortland,5,20170,4034,2016
3039,Brockport,5,20065,4013,2016
3040,Trine,5,19945,3989,2016
3041,Chris Newport,5,19175,3835,2016
3042,Mary Hardin-Baylor,9,33844,3760,2016
3043,Baldwin Wallace,5,18147,3629,2016
3044,Trinity (CT),4,14503,3626,2016
3045,Sewanee,5,18091,3618,2016
3046,Amherst,4,14378,3595,2016
3047,Mount Union,4,14350,3588,2016
3048,Coe,6,20662,3444,2016
3049,Lebanon Valley,5,17200,3440,2016
3050,Louisiana Col,6,20440,3407,2016
3051,Wis-Platteville,4,13585,3396,2016
3052,Rowan,5,16148,3230,2016
3053,Simpson,4,12860,3215,2016
3054,Ohio Northern,4,12729,3182,2016
3055,Wittenberg,5,15815,3163,2016
3056,Southwestern (TX),5,15734,3147,2016
